====================================================================================================
FILE: raw/2016-17/monthly/FR_APr_2016.pdf
PAGES: 355
====================================================================================================
Page   1 | text_chars=    0 | images= 2 | 
Page  98 | text_chars= 3596 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 94 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page  99 | text_chars= 3810 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 95 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page 100 | text_chars= 3638 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 96 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page 101 | text_chars= 3897 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 97 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page 102 | text_chars= 3593 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 98 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page 103 | text_chars= 3474 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 99 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / R
Page 104 | text_chars= 3159 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 100 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / 
Page 105 | text_chars= 3202 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 101 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / 
Page 106 | text_chars= 3120 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 102 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / 
Page 107 | text_chars= 3243 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 103 MoSPI OCMS Sector Wise Details (April 2016) Date of Commissioning SI.No Project Date of Approval Original / 
