====================================================================================================
FILE: raw/2024-25/monthly/April_Part-II_List_of_tables.pdf
PAGES: 572
====================================================================================================
Page   1 | text_chars=    0 | images= 1 | 
Page 126 | text_chars= 3121 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule Annexure - VI (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Yea
Page 127 | text_chars= 2986 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 128 | text_chars= 2355 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 129 | text_chars= 2897 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 130 | text_chars= 3350 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 131 | text_chars= 3358 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 132 | text_chars= 3198 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 133 | text_chars= 3544 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 134 | text_chars= 3579 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 135 | text_chars= 3360 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 136 | text_chars= 3598 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
Page 137 | text_chars= 3689 | images= 1 | Details of Ongoing Projects having Cost Overruns w.r.t. to Original Schedule (April 2024) Date of Commissioning (Month/Year) S.No Project Date of Approval (Month/ Year) Original / 
